연도,시군구,법정동,업종,가구수,사용량
2022,경기도 부천시,성곡동,일반용,7191,587798
2022,경기도 부천시,성곡동,대중탕용,37,25299
2022,경기도 부천시,성곡동,산업용,93,4805
2022,경기도 부천시,원종1동,가정용,59444,1646978
2022,경기도 부천시,원종1동,일반용,5114,348789
2022,경기도 부천시,원종1동,대중탕용,36,58238
2022,경기도 부천시,원종1동,산업용,42,1036
2022,경기도 부천시,원종2동,가정용,56226,1499818
2022,경기도 부천시,원종2동,일반용,3142,264628
2022,경기도 부천시,원종2동,산업용,12,3626
2022,경기도 부천시,고강본동,가정용,77500,2076638
2022,경기도 부천시,고강본동,일반용,4267,246325
2022,경기도 부천시,고강본동,대중탕용,19,574
2022,경기도 부천시,고강본동,산업용,45,9130
2022,경기도 부천시,고강1동,가정용,38633,1049614
2022,경기도 부천시,고강1동,일반용,2193,139024
2022,경기도 부천시,고강1동,대중탕용,6,0
2022,경기도 부천시,고강1동,산업용,25,1098
2022,경기도 부천시,오정동,가정용,52323,1594451
2022,경기도 부천시,오정동,일반용,3509,600245
2022,경기도 부천시,오정동,대중탕용,12,104
2022,경기도 부천시,오정동,산업용,1051,181553
2022,경기도 부천시,신흥동,가정용,55685,1363304
2022,경기도 부천시,신흥동,일반용,7465,519142
2022,경기도 부천시,신흥동,전용공업용,12,383691
2022,경기도 부천시,신흥동,산업용,7428,1552092
2021,경기도 부천시,심곡본1동,가정용,52956,1305841
2021,경기도 부천시,심곡본1동,일반용,9764,377299
2021,경기도 부천시,심곡본1동,대중탕용,6,157
2021,경기도 부천시,심곡본동,가정용,49612,1305846
2021,경기도 부천시,심곡본동,일반용,11335,439820
2021,경기도 부천시,심곡본동,대중탕용,18,24957
2021,경기도 부천시,심곡본동,산업용,6,75
2021,경기도 부천시,소사본1동,가정용,38246,929608
2021,경기도 부천시,소사본1동,일반용,3849,134766
2021,경기도 부천시,소사본1동,산업용,13,414
2021,경기도 부천시,소사본2동,가정용,34413,969516
2021,경기도 부천시,소사본2동,일반용,13655,595383
2021,경기도 부천시,소사본2동,대중탕용,24,11752
2021,경기도 부천시,소사본2동,산업용,171,16286
2021,경기도 부천시,소사본3동,가정용,71355,2313495
2021,경기도 부천시,소사본3동,일반용,8686,360377
2021,경기도 부천시,소사본3동,산업용,99,3813
2021,경기도 부천시,범박동,가정용,102907,3873894
2021,경기도 부천시,범박동,일반용,6600,594331
2021,경기도 부천시,범박동,대중탕용,11,43087
2021,경기도 부천시,범박동,산업용,33,7172
2021,경기도 부천시,괴안동,가정용,51131,1506092
2021,경기도 부천시,괴안동,일반용,3281,174734
2021,경기도 부천시,괴안동,산업용,137,5394
2021,경기도 부천시,역곡3동,가정용,68110,1813151
2021,경기도 부천시,역곡3동,일반용,7140,425952
2021,경기도 부천시,역곡3동,대중탕용,28,43912
2021,경기도 부천시,역곡3동,산업용,212,9032
2021,경기도 부천시,송내1동,가정용,55245,1603778
2021,경기도 부천시,송내1동,일반용,5328,282414
2021,경기도 부천시,송내1동,대중탕용,24,8205
2021,경기도 부천시,송내1동,산업용,211,32872
